Designator,Mid X,Mid Y,Layer,Rotation
"C1","-7.8556mm","25.612mm","Top",0
"C2","-13.0923mm","17.6624mm","Top",270
"C3","-14.3806mm","20.8947mm","Top",180
"C4","-1.0852mm","26.0748mm","Top",90
"C5","-3.7765mm","-1.2412mm","Top",90
"C6","-10.8343mm","24.8115mm","Top",90
"C7","-6.6184mm","-1.2486mm","Top",90
"C8","-42.4979mm","28.4008mm","Top",90
"F1","-35.1017mm","26.9115mm","Top",180
"FB1","-13.5241mm","24.0315mm","Top",0
"J1","-39.3822mm","17.1379mm","Top",90
"LED1","11.0674mm","33.9484mm","Top",180
"LED2","18.4723mm","33.9484mm","Top",180
"LED3","25.8773mm","33.9484mm","Top",180
"LED4","33.2822mm","33.9484mm","Top",180
"LED5","40.6872mm","33.9484mm","Top",180
"LED6","14.7699mm","28.5967mm","Top",180
"LED7","22.1748mm","28.5967mm","Top",180
"LED8","29.5798mm","28.5967mm","Top",180
"LED9","37.0015mm","28.5967mm","Top",180
"OLED1","46.7889mm","20.498mm","Top",180
"R2","-31.9618mm","16.5657mm","Top",0
"R3","-31.9618mm","18.6008mm","Top",0
"R4","2.7296mm","26.0342mm","Top",90
"SW1","12.2478mm","5.0996mm","Top",45
"SW2","22.2884mm","5.0996mm","Top",45
"SW3","32.3289mm","5.0996mm","Top",45
"SW4","42.3695mm","5.0996mm","Top",45
"SW5","42.3695mm","-30.2385mm","Top",45
"SW6","22.2884mm","-6.3363mm","Top",45
"SW7","32.3289mm","-6.3363mm","Top",45
"SW8","42.3695mm","-6.3289mm","Top",45
"SW9","12.2478mm","-17.9046mm","Top",45
"SW10","22.2884mm","-17.9046mm","Top",45
"SW11","32.3289mm","-17.9046mm","Top",45
"SW12","42.3695mm","-17.9046mm","Top",45
"SW13","12.2478mm","-30.2385mm","Top",45
"SW14","22.2884mm","-30.2385mm","Top",45
"SW15","12.2478mm","-6.3363mm","Top",45
"SW16","32.3289mm","-30.2385mm","Top",45
"SW17","-18.3622mm","-28.9759mm","Top",0
"U1","-5.076mm","17.5964mm","Top",0
"X1","-5.1805mm","3.4155mm","Top",90
"Z1","-34.5817mm","15.951mm","Top",90
"Z2","-34.5817mm","19.2296mm","Top",270
