Designator,Mid X,Mid Y,Layer,Rotation
"C1","-7.9555mm","35.4971mm","Top",0
"C2","-13.1922mm","27.5475mm","Top",270
"C3","-14.4805mm","30.7798mm","Top",180
"C4","-1.1851mm","35.9599mm","Top",90
"C5","-3.8764mm","8.6439mm","Top",90
"C6","-10.9342mm","34.6966mm","Top",90
"C7","-6.7183mm","8.6365mm","Top",90
"C8","-42.5978mm","38.2859mm","Top",90
"F1","-35.2016mm","36.7966mm","Top",180
"FB1","-13.624mm","33.9166mm","Top",0
"J1","-39.4821mm","27.023mm","Top",90
"R2","-32.0617mm","26.4508mm","Top",0
"R3","-32.0617mm","28.4859mm","Top",0
"R4","2.6297mm","35.9193mm","Top",90
"SW1","38.4585mm","-31.7162mm","Top",0
"SW2","11.0606mm","-36.0466mm","Top",0
"SW3","-2.9757mm","30.4084mm","Top",0
"SW4","46.4585mm","4.3861mm","Top",0
"SW5","14.0667mm","-38.1944mm","Top",0
"SW6","39.8225mm","-17.3294mm","Top",0
"SW7","96.0901mm","-30.8447mm","Top",0
"SW8","54.4585mm","-2.9302mm","Top",0
"SW9","62.9865mm","-25.6844mm","Top",0
"SW10","64.1774mm","-31.2992mm","Top",0
"SW11","72.6923mm","-25.1795mm","Top",0
"SW12","52.5184mm","-29.4662mm","Top",0
"SW13","35.5631mm","-5.499mm","Top",0
"SW14","108.0372mm","-23.1332mm","Top",0
"SW15","50.4056mm","-14.5249mm","Top",0
"SW16","80.6923mm","-3.85mm","Top",0
"U1","-5.1759mm","27.4815mm","Top",0
"X1","-5.2804mm","13.3006mm","Top",90
"Z1","-34.6816mm","25.8361mm","Top",90
"Z2","-34.6816mm","29.1147mm","Top",270
